JobID,Description,EducationLevelID,FunctionPositionID,JobStatus,JobTitle,Requirement,SalaryMax,SalaryMin,HiredQuota,DepartmentID,CityID,CompanyID,ProvinceID,SkipTest,MajorID,DbName,UsiaMax,UsingGlasses,IQMin,IsSpecificEducationLevel,DriverLicenseType,IsSpesificDriverLicense,Gender,IsSpecificAge,IsSpecificGender,IsSpecificIQ,IsSpecificMarital,MaritalStatus,AdsStatisticID
1,under asst front office manager at gunawangsa hotel merr surabaya,4,1,Close,night audit,with year minimum experiences in the same position has experiences with power pro hotel system preferable domicile in surabaya and surrounding areas good personality attitude passionate loyal willing to become key player in dynamic team able to work under pressure,3600000,3300000,1,1,1,7,1,True,1,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
2,becoming book keeper for gunawangsa hotel merr,2,2,Close,book keeper,bachelor degree of accounting with years minimum experiences in the same positionhas experiences with power pro hotel systempreferable domicile in surabaya and surrounding areas good personality attitudepassionate loyalwilling to become key player in dynamic team able to work under pressure,4250000,3500000,1,2,1,7,1,True,2,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
3,developing of android application and their integration with back end services in accordance with user requirementsanalyzing and optimizing application code for efficiency reability and performance,2,3,Close,it android programmer,usia maksimal tahun minimal pendidikan it atau sistem informasimenguasai pemprograman khusunya tentang android asp net mvc dll fresh graduate wellcomesiap kerja teamulet kreatif dan rajin,5000000,4000000,2,8,1,1,1,False,4,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
4,melakukan tugas kesekretariatan menggunakan terminologi prosedur dan dokumen hukummenyiapkan dokumen dan korespondensi hukum seperti surat panggilan keluhan isyarat dan panggilan dari pengadilanmenyiapkan dan memproses dokumen dan surat surat hukum seperti surat panggilan panggilan dari pengadilan keluhan permohonan banding mosi dan perjanjian praperadilan mengorganisir dan memelihara perpustakaan hukum dokumen dan file kasus membuat jadwal dan janji,2,4,Close,sekretaris legal,pendidikan minimal hukumusia maksimal tahunpengalaman kerja min thnpengalaman membuat konsep dan koreksi surat surat perjanjian kontrak kerjasama dan yang sejenisnyasiap kerja under pressurepenampilan menarikmampu berbahasa inggris aktif dan pasifpenempatan surabaya,4500000,3600000,1,8,1,1,1,False,6,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
5,bantu handle pekerjaan atasanmembuat surat menyuratmengatur jadwal atasan,4,5,Close,sekretaris direksi,usia maksimal tahun pendidikan min semua jurusan jurusan sekretaris lebih disukaipengalaman kerja minimal tahun dibidang yang sama lebih disukaibisa bahasa inggris aktifbisa bahasa mandarinberpenampilan menarik sopan rapi inisiatif tinggi dan komunikatifmampu bekerja secara multitasking memiliki time task management yang baikmampu bekerja dengan target dan deadlinepekerja keras dan tahan terhadap tekananmemiliki disiplin dan etika yang tinggi,5000000,4000000,3,8,1,1,1,True,7,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
6,mencari para calon klien yang prospektifmengembangkan dan merealisasikan rencana penjualan dan tergetnyamelakukan penawaran harga dan negosiasi dengan klien dll,4,6,Close,marketing executive,usia maksimal tahunpendidikan minimal semua jurusanmemiliki pengalaman bekerja minimal tahun dibidang yang samamemiliki networking yang luasmemiliki kendaraan sendiri lebih diutamakanmemiliki sim lebih disukaipenempatan surabaya,4000000,3600000,1,8,1,1,1,True,7,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
7,membuat perhitungan rencana anggaran biaya rab membuat perhitungan harga upah kerja progress kerja membuat time schedule,2,7,Close,senior estimator,usia maksimal tahunpendidikan teknik sipilpengalaman sebagai estimator drafter min tahunmemiliki pengetahuan mengenai konstruksi bilboard dllmampu membuat rab rap dan analisa hargadapat bekerja secara team atau individutanggung jawab kreatif dan inisiatif,4500000,4000000,1,8,1,1,1,False,8,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
8,membuat aplikasi sesuai dengan kebutuhan perusahaan termasuk existing aplikasimewujudkan desain web menjadi system yang berfungsi dengan baik,2,8,Close,web programmer,usia maksimal tahunpendidikan teknik informatika ilmu komputer pengalaman minimal tahun dalam membangun aplikasi webmenguasai pemograman php html my sql dllpenempatan surabaya,4500000,3600000,1,9,1,1,1,False,4,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
10,merawat kebersihan mobil kantor antar dan jemput karyawan saat ada keperluan kantor,5,10,Close,driver,laki laki usia maks tahun pendidikan min sma smk sederajat mempunyai sim berpengalaman dibidang yang sama min tahun hafal rute jalan kota surabaya displin jujur dan cekatan mampu berkoordinasi dan berkomunikasi baik dengan tim berpenampilan menarik,2800000,2700000,1,13,1,3,1,True,7,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
13,membuat rab proyek yang akan dijalankan perusahaan yang mecakup spesifikasi volume bahan dan perhitungan nilai rupiahnyamelakukan koordinasi dengan dept ga bagian pengadaan untuk update harga bahan bilamana ada bahan bahan baru yang diperlukanmembuat bill of quantity internal untuk tender subcontmenjalankan proyekmembuat laporan realisasi proyek dan menganalisa laporan terhadap rabmembuat detail project schedule proyekmembuat progress report berasarkan dps selama berjalannya proyek dan melaporkan progress report kepada pomelakukan perhitungan daya listrik yang dibutuhkan suatu lokasi reklamemelakukan koordinasi dengan workshop subcont dept ga untuk pengadaan supply tenaga kerja bahan dan peralatan kerjamelakukan koordinasi dengan dept pajak ijin ataupun pihak lain,4,13,Close,project officer,menguasai software autocad dan sap mampu menghitung rab dan skalatis secara teknisdapat mengendarai kendaraan bermotor,4500000,4000000,2,11,2,1,2,True,8,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
14,melakukan follow up atas semua penawaran yang telah diberikan kepada klien dalam tanggung jawab ae sampai dengan monitoring pekerjaan atas suatu ordermelakukan aktifitas penjualan kepada klien barumemeriksa isi dari surat penawaran yang akan dikirim ke klien dalam tanggung jawab ae serta memastikan penawaran tersebut sesuia dengan permintaan kebutuhan dari klien dan melakukan follow up secara baik dan benarmenjalin komunikasi yang baik dengan klien dan mengakomidir request atau komplian dari klienmembantu bagian collection dalam penagihan bilamana ada piutang yang bermasalah bad debt maupun piutang yang berpotenso bermasalah atas suatu pekerjaan atau order yang menjadi tanggung aeseminggu sekali membuat laporan progress kerja ae yang berisi klien mana saja yang sedang diproses usaha apa saja yang sudah dilakukan kartu nama yang diperoleh dari calon klienmerepresentasikan perusahan dengan baik kepada pihak luar,2,6,Close,account executive marketing,male female max th bachelor degree in marketing communication advertising have years experience in marketing actractive appearance and carries wide relation target oriented able to used microsoft office ready to work under pressure,5500000,4500000,5,17,2,1,2,True,10,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
15,mempersiapkan mobil yang akan digunakan untuk kepeerluan kantor maupun tamu tamu kantormelakukan perawatan dan perbaikan mobil yang digunakan untuk keperluan kantormengajukan kepada atasan jika perawatan perlu dilakukan oleh bengkel luar dan melaporkannya kepada atasn atas hasil perawatan perbaikan bengkel luarmemeriksa tanggal jatuh tempo surat surat kendaraan seperti sim dan sntk mobil yang menjadi tanggung jawabnyamenginformasikan kepada atas untuk persiapan pengurusannyamengantar dan mengambil surat barang lain ke dan dari pihak yang dituju,5,10,Close,driver,memiliki sim amampu mengendarai kendaraan matic dan manualmengetahui protokol area jakarta jakarta pusat barat timur dan selatan berpengalaman mengendarai alphardmemiliki smartphoneterbiasa menggunakan aplikasi waze atau google mapsbersedia bekerja lemburdiutamakan berdomisili di daerah jakarta pusat,4500000,3900000,3,15,2,1,2,True,7,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
16,bertanggung jawab mengelola dan mengembangkan sumber daya manusia dalam hal ini termasuk perencanaan pelaksanaan dan pengawasan sumber daya manusia dan pengembangan kualitas sumber daya manusia membuat sistem hr yang efektif dan efisien misalnya dengan membuat sop job description training and development system dll bertanggung jawab penuh dalam proses rekrutmen karyawan mulai dari mencari calon karyawan wawancara hingga seleksi melakukan seleksi promosi transfering dan demosi pada karyawan yang dianggap perlu melakukan kegiatan pembinaan pelatihan dan kegiatan kegiatan yang berhubungan dengan pengembangan kemampuan potensi mental keterampilan dan pengetahuan karyawan yang sesuai dengan standar perusahaan bertangggung jawab pada hal yang berhubungan dengan absensi karyawan perhitungan gaji bonus dan tunjangan membuat kontrak kerja karyawan serta memperbaharui masa berlakunya kontrak kerja melakukan tindakan disipliner pada karyawan yang melanggar peraturan atau kebijakan perusahaan,2,14,Close,hrd staff,pendidikan psikologi hukumusia maksimal tahunpengalaman kerja minimal tahun dibidangnyamenguasai implementasi peraturan ketenagakerjaanberpengalaman mengerjakan iso trainingmenguasai proses rekruitmentdaftar lewat link recruitment warnawarni co id,4000000,3600000,1,15,1,1,1,True,3,WarnaWarni,0.0,False,0,False,0,False,0,False,False,False,False,0,0
